Name,Package,Tags,Score,Developers,Version,MD5,Download_URL
百度极速版,com.baidu.searchbox.lite,手机浏览器,4.8,北京百度网讯科技有限公司,6.40.0.11,3015E6BC59E8294882BB39AE3028D73A,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/3015E6BC59E8294882BB39AE3028D73A.apk?fsname=com.baidu.searchbox.lite_6.40.0.11.apk
HP 打印服务插件,com.hp.android.printservice,文档表格,3.5,惠普贸易（上海）有限公司,23.2.4.3167,768A5225C0D60037D1D88017C485D23C,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/768A5225C0D60037D1D88017C485D23C.apk?fsname=com.hp.android.printservice_23.2.4.3167.apk
中国银行,com.chinamworld.bocmbci,手机银行,4.4,中国银行股份有限公司,9.8.0,A3089D67772BFCE684944F0A32640585,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/A3089D67772BFCE684944F0A32640585.apk?fsname=com.chinamworld.bocmbci_9.8.0.apk
车轮,cn.eclicks.wzsearch,违章查询,4.9,车轮互联科技（上海）股份有限公司,10.0.8,8719C69F0620472490BCF9F5900659EF,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/8719C69F0620472490BCF9F5900659EF.apk?fsname=cn.eclicks.wzsearch_10.0.8.apk
追书神器,com.ushaqi.zhuishushenqi,电子书城,4.8,江西元聚网络科技有限公司,4.85.72,7E5C39EC87EA4E86DA01B9A124688867,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/7E5C39EC87EA4E86DA01B9A124688867.apk?fsname=com.ushaqi.zhuishushenqi_4.85.72.apk
同花顺,com.hexin.plat.android,股票,4.7,浙江同花顺网络科技有限公司,11.19.03,C58542387C8CFC739F01AE662EC0729F,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/C58542387C8CFC739F01AE662EC0729F.apk?fsname=com.hexin.plat.android_11.19.03.apk
翼支付,com.chinatelecom.bestpayclient,移动支付,4.8,天翼电子商务有限公司,10.93.60,7603FBB52B7A34A1BF1BD15AFCAA9F30,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/7603FBB52B7A34A1BF1BD15AFCAA9F30.apk?fsname=com.chinatelecom.bestpayclient_10.93.60.apk
工银融e联,com.icbc.im,手机银行,2.4,中国工商银行股份有限公司,5.6.4,22230C0F0D4FBDAB88908EBB19FBAFC7,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/22230C0F0D4FBDAB88908EBB19FBAFC7.apk?fsname=com.icbc.im_5.6.4.apk
Microsoft PowerPoint,com.microsoft.office.powerpoint,文档表格,4.3,Microsoft,16.0.18227.20088,CA08271288C0328DF14B444D10129048,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/CA08271288C0328DF14B444D10129048.apk?fsname=com.microsoft.office.powerpoint_16.0.18227.20088.apk
中华万年历,cn.etouch.ecalendar,日历,4.8,南京微鲤科技有限公司,9.3.6,DF4371D02BF6F796C626AE3E8BC5F640,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/DF4371D02BF6F796C626AE3E8BC5F640.apk?fsname=cn.etouch.ecalendar_9.3.6.apk
网易有道词典,com.youdao.dict,AI教育学习,4.7,网易有道信息技术（北京）有限公司,10.1.20,BD3268B881BE858FA07CBB3C04219B8B,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/BD3268B881BE858FA07CBB3C04219B8B.apk?fsname=com.youdao.dict_10.1.20.apk
车轮驾考通,cn.eclicks.drivingtest,驾考培训,5.0,车轮互联科技（上海）股份有限公司,8.8.6,86AC337CA52B071F8E9FD45E4898B2DC,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/86AC337CA52B071F8E9FD45E4898B2DC.apk?fsname=cn.eclicks.drivingtest_8.8.6.apk
哈啰,com.jingyao.easybike,打车拼车,4.6,上海哈啰普惠科技有限公司,6.78.1,13CFC2EBEDF5E7F3B767CFDC170748C5,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/13CFC2EBEDF5E7F3B767CFDC170748C5.apk?fsname=com.jingyao.easybike_6.78.1.apk
国家反诈中心,com.hicorenational.antifraud,其他,5.0,公安部刑侦局,2.0.17,319D844C9C5DA784B10AFB228890F147,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/319D844C9C5DA784B10AFB228890F147.apk?fsname=com.hicorenational.antifraud_2.0.17.apk
美团外卖-美食水果优惠订餐,com.sankuai.meituan.takeoutnew,外卖订餐,4.3,北京三快在线科技有限公司,8.41.3,B816D72585BCBCC54D3001FB76D9C692,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/B816D72585BCBCC54D3001FB76D9C692.apk?fsname=com.sankuai.meituan.takeoutnew_8.41.3.apk
米家,com.xiaomi.smarthome,智能家居,3.2,北京小米移动软件有限公司,10.1.621,214502253A395CBEF3BDE62C1B1CBDA3,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/214502253A395CBEF3BDE62C1B1CBDA3.apk?fsname=com.xiaomi.smarthome_10.1.621.apk
万顺叫车,com.wsecar.wsjc,打车拼车,4.5,深圳万顺叫车云信息技术有限公司,6.7.0,1DD65938C0820B05C47996407FDCEF6F,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/1DD65938C0820B05C47996407FDCEF6F.apk?fsname=com.wsecar.wsjc_6.7.0.apk
